,word,count
0,农业,2565
19,销售,2501
11,技术,1783
8,管理,1599
17,产品,1337
12,种植,1166
26,生产,865
22,组织,506
21,作物,438
3,农学,431
38,信息,407
4,农资,384
9,植物,381
32,规划,359
30,工程,300
36,设计,298
23,植保,298
7,园林,272
6,园艺,248
34,资源,232
5,农药,228
2,植物保护,219
35,农作物,206
37,育种,205
18,经营,202
24,栽培,172
31,农产品,149
43,产品销售,148
25,生物,140
39,养护,132
63,施工,131
13,病虫害防治,106
28,田间,104
14,病虫害,101
33,苗木,88
53,培养,79
29,调查,73
20,防治,70
42,育苗,66
27,田间管理,59
1,化肥,58
15,温室,56
41,农产,52
16,大棚,46
50,绿化,43
55,林业,43
57,花卉,42
46,加工,39
60,苗圃,38
61,化工,31
51,专利,30
52,微生物,30
44,种苗,20
58,预测,19
69,园林绿化,19
75,建筑,19
59,审查,19
62,农产品销售,17
72,无土栽培,17
10,保护,16
64,工程施工,12
76,野外,10
67,农资销售岗,10
49,测量,10
74,测绘,9
95,动植物,9
65,制药,8
68,化肥_农资销售岗,8
40,休闲农业,7
77,森林,6
79,生物制药,6
93,自然,6
70,休闲,6
97,生物制药_微生物,5
48,病虫,5
45,保鲜,5
54,发酵,5
47,病虫害防治_保鲜,5
103,园林设计,4
96,工程施工_园林绿化,3
84,预测预报,3
85,病虫_防治,3
94,自然_自然,2
87,预报,2
71,防火,2
83,农作,2
81,无土栽培_工程施工,2
66,森林保护,2
80,测绘_测绘,2
73,虫害,2
90,营造,1
99,自然保护,1
105,绿化养护岗_绿化,1
104,绿化养护岗,1
56,化验,1
102,森林_防火,1
101,林业_自然保护,1
100,调查_森林资源调查,1
98,森林资源调查,1
91,营造_休闲,1
82,花卉生产,1
86,林木,1
78,造林,1
88,预测_预报,1
89,无土,1
92,休闲_休闲,1
106,野外调查,1
